Date : 2025-01-27 18:00:35
Directory : c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts
Total : 1369 files,  1443553 codes, 5579 comments, 8375 blanks, all 1457507 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| artifacts\@openzeppelin\contracts\interfaces\IERC1363.sol                                                                                                                          |          2 |        386 |          0 |          2 |        388 |
| artifacts\@openzeppelin\contracts\interfaces\draft-IERC6093.sol                                                                                                                    |          6 |        336 |          0 |          6 |        342 |
| artifacts\@openzeppelin\contracts\token                                                                                                                                            |         10 |        895 |          0 |         10 |        905 |
| artifacts\@openzeppelin\contracts\token\ERC20                                                                                                                                      |         10 |        895 |          0 |         10 |        905 |
| artifacts\@openzeppelin\contracts\token\ERC20\ERC20.sol                                                                                                                            |          2 |        323 |          0 |          2 |        325 |
| artifacts\@openzeppelin\contracts\token\ERC20\IERC20.sol                                                                                                                           |          2 |        198 |          0 |          2 |        200 |
| artifacts\@openzeppelin\contracts\token\ERC20\extensions                                                                                                                           |          4 |        327 |          0 |          4 |        331 |
| artifacts\@openzeppelin\contracts\token\ERC20\extensions\IERC20Metadata.sol                                                                                                        |          2 |        237 |          0 |          2 |        239 |
| artifacts\@openzeppelin\contracts\token\ERC20\extensions\IERC20Permit.sol                                                                                                          |          2 |         90 |          0 |          2 |         92 |
| artifacts\@openzeppelin\contracts\token\ERC20\utils                                                                                                                                |          2 |         47 |          0 |          2 |         49 |
| artifacts\@openzeppelin\contracts\token\ERC20\utils\SafeERC20.sol                                                                                                                  |          2 |         47 |          0 |          2 |         49 |
| artifacts\@openzeppelin\contracts\utils                                                                                                                                            |         20 |        302 |          0 |         20 |        322 |
| artifacts\@openzeppelin\contracts\utils\Address.sol                                                                                                                                |          2 |         26 |          0 |          2 |         28 |
| artifacts\@openzeppelin\contracts\utils\Context.sol                                                                                                                                |          2 |         14 |          0 |          2 |         16 |
| artifacts\@openzeppelin\contracts\utils\Errors.sol                                                                                                                                 |          2 |         52 |          0 |          2 |         54 |
| artifacts\@openzeppelin\contracts\utils\Panic.sol                                                                                                                                  |          2 |         14 |          0 |          2 |         16 |
| artifacts\@openzeppelin\contracts\utils\Strings.sol                                                                                                                                |          2 |         31 |          0 |          2 |         33 |
| artifacts\@openzeppelin\contracts\utils\introspection                                                                                                                              |          4 |         68 |          0 |          4 |         72 |
| artifacts\@openzeppelin\contracts\utils\introspection\ERC165.sol                                                                                                                   |          2 |         34 |          0 |          2 |         36 |
| artifacts\@openzeppelin\contracts\utils\introspection\IERC165.sol                                                                                                                  |          2 |         34 |          0 |          2 |         36 |
| artifacts\@openzeppelin\contracts\utils\math                                                                                                                                       |          6 |         97 |          0 |          6 |        103 |
| artifacts\@openzeppelin\contracts\utils\math\Math.sol                                                                                                                              |          2 |         14 |          0 |          2 |         16 |
| artifacts\@openzeppelin\contracts\utils\math\SafeCast.sol                                                                                                                          |          2 |         69 |          0 |          2 |         71 |
| artifacts\@openzeppelin\contracts\utils\math\SignedMath.sol                                                                                                                        |          2 |         14 |          0 |          2 |         16 |
| artifacts\build-info                                                                                                                                                               |          2 |          2 |          0 |          0 |          2 |
| artifacts\contracts                                                                                                                                                                |        352 |     21,589 |          0 |        352 |     21,941 |
| artifacts\contracts\practice-GuideDAO                                                                                                                                              |        166 |     10,602 |          0 |        166 |     10,768 |
| artifacts\contracts\practice-GuideDAO\AddressDemo.sol                                                                                                                              |          2 |         41 |          0 |          2 |         43 |
| artifacts\contracts\practice-GuideDAO\Album.sol                                                                                                                                    |          2 |         97 |          0 |          2 |         99 |
| artifacts\contracts\practice-GuideDAO\AlbumTracker.sol                                                                                                                             |          2 |        197 |          0 |          2 |        199 |
| artifacts\contracts\practice-GuideDAO\Demo.sol                                                                                                                                     |          2 |         65 |          0 |          2 |         67 |
| artifacts\contracts\practice-GuideDAO\DemoNew.sol                                                                                                                                  |          2 |        126 |          0 |          2 |        128 |
| artifacts\contracts\practice-GuideDAO\Destroy.sol                                                                                                                                  |          2 |         69 |          0 |          2 |         71 |
| artifacts\contracts\practice-GuideDAO\ENSRegistrar.sol                                                                                                                             |          2 |        268 |          0 |          2 |        270 |
| artifacts\contracts\practice-GuideDAO\ERC1155                                                                                                                                      |          8 |      1,009 |          0 |          8 |      1,017 |
| artifacts\contracts\practice-GuideDAO\ERC1155\ERC1155.sol                                                                                                                          |          2 |        319 |          0 |          2 |        321 |
| artifacts\contracts\practice-GuideDAO\ERC1155\IERC1155.sol                                                                                                                         |          2 |        289 |          0 |          2 |        291 |
| artifacts\contracts\practice-GuideDAO\ERC1155\IERC1155MetadataURI.sol                                                                                                              |          2 |        308 |          0 |          2 |        310 |
| artifacts\contracts\practice-GuideDAO\ERC1155\IERC1155Receiver.sol                                                                                                                 |          2 |         93 |          0 |          2 |         95 |
| artifacts\contracts\practice-GuideDAO\ERC165.sol                                                                                                                                   |          2 |         53 |          0 |          2 |         55 |
| artifacts\contracts\practice-GuideDAO\ERC20                                                                                                                                        |          4 |        500 |          0 |          4 |        504 |
| artifacts\contracts\practice-GuideDAO\ERC20\ERC20.sol                                                                                                                              |          2 |        281 |          0 |          2 |        283 |
| artifacts\contracts\practice-GuideDAO\ERC20\IERC20.sol                                                                                                                             |          2 |        219 |          0 |          2 |        221 |
| artifacts\contracts\practice-GuideDAO\ERC2612                                                                                                                                      |         32 |      2,099 |          0 |         32 |      2,131 |
| artifacts\contracts\practice-GuideDAO\ERC2612\ERC20.sol                                                                                                                            |          2 |        301 |          0 |          2 |        303 |
| artifacts\contracts\practice-GuideDAO\ERC2612\ERC20Permit.sol                                                                                                                      |          2 |        451 |          0 |          2 |        453 |
| artifacts\contracts\practice-GuideDAO\ERC2612\IERC20.sol                                                                                                                           |          2 |        198 |          0 |          2 |        200 |
| artifacts\contracts\practice-GuideDAO\ERC2612\IERC20Metadata.sol                                                                                                                   |          2 |        237 |          0 |          2 |        239 |
| artifacts\contracts\practice-GuideDAO\ERC2612\IERC20Permit.sol                                                                                                                     |          2 |         90 |          0 |          2 |         92 |
| artifacts\contracts\practice-GuideDAO\ERC2612\IERC5267.sol                                                                                                                         |          2 |         64 |          0 |          2 |         66 |
| artifacts\contracts\practice-GuideDAO\ERC2612\MyToken.sol                                                                                                                          |          2 |        474 |          0 |          2 |        476 |
| artifacts\contracts\practice-GuideDAO\ERC2612\Proxy.sol                                                                                                                            |          2 |         63 |          0 |          2 |         65 |
| artifacts\contracts\practice-GuideDAO\ERC2612\crypto                                                                                                                               |          4 |        120 |          0 |          4 |        124 |
| artifacts\contracts\practice-GuideDAO\ERC2612\crypto\ECDSA.sol                                                                                                                     |          2 |         14 |          0 |          2 |         16 |
| artifacts\contracts\practice-GuideDAO\ERC2612\crypto\EIP712.sol                                                                                                                    |          2 |        106 |          0 |          2 |        108 |
| artifacts\contracts\practice-GuideDAO\ERC2612\utils                                                                                                                                |         12 |        101 |          0 |         12 |        113 |
| artifacts\contracts\practice-GuideDAO\ERC2612\utils\Counters.sol                                                                                                                   |          2 |         14 |          0 |          2 |         16 |
| artifacts\contracts\practice-GuideDAO\ERC2612\utils\Math.sol                                                                                                                       |          2 |         14 |          0 |          2 |         16 |
| artifacts\contracts\practice-GuideDAO\ERC2612\utils\ShortStrings.sol                                                                                                               |          2 |         31 |          0 |          2 |         33 |
| artifacts\contracts\practice-GuideDAO\ERC2612\utils\SignedMath.sol                                                                                                                 |          2 |         14 |          0 |          2 |         16 |
| artifacts\contracts\practice-GuideDAO\ERC2612\utils\StorageSlot.sol                                                                                                                |          2 |         14 |          0 |          2 |         16 |
| artifacts\contracts\practice-GuideDAO\ERC2612\utils\Strings.sol                                                                                                                    |          2 |         14 |          0 |          2 |         16 |
| artifacts\contracts\practice-GuideDAO\Factory.sol                                                                                                                                  |          2 |         28 |          0 |          2 |         30 |
| artifacts\contracts\practice-GuideDAO\FundsDemo.sol                                                                                                                                |          2 |         55 |          0 |          2 |         57 |
| artifacts\contracts\practice-GuideDAO\LibStringDemo.sol                                                                                                                            |          2 |         34 |          0 |          2 |         36 |
| artifacts\contracts\practice-GuideDAO\MappingDemo.sol                                                                                                                              |          2 |         41 |          0 |          2 |         43 |
| artifacts\contracts\practice-GuideDAO\MusicShop.sol                                                                                                                                |          2 |        316 |          0 |          2 |        318 |
| artifacts\contracts\practice-GuideDAO\MyContract.sol                                                                                                                               |          2 |         81 |          0 |          2 |         83 |
| artifacts\contracts\practice-GuideDAO\MyGuideDAOToken.sol                                                                                                                          |          2 |        334 |          0 |          2 |        336 |
| artifacts\contracts\practice-GuideDAO\MyShop.sol                                                                                                                                   |          2 |         66 |          0 |          2 |         68 |
| artifacts\contracts\practice-GuideDAO\NFT&ERC721                                                                                                                                   |         22 |      2,510 |          0 |         22 |      2,532 |
| artifacts\contracts\practice-GuideDAO\NFT&ERC721\ERC165.sol                                                                                                                        |          2 |         34 |          0 |          2 |         36 |
| artifacts\contracts\practice-GuideDAO\NFT&ERC721\ERC721.sol                                                                                                                        |          2 |        351 |          0 |          2 |        353 |
| artifacts\contracts\practice-GuideDAO\NFT&ERC721\ERC721Enumerable.sol                                                                                                              |          2 |        391 |          0 |          2 |        393 |
| artifacts\contracts\practice-GuideDAO\NFT&ERC721\ERC721URIStorage.sol                                                                                                              |          2 |        335 |          0 |          2 |        337 |
| artifacts\contracts\practice-GuideDAO\NFT&ERC721\IERC165.sol                                                                                                                       |          2 |         34 |          0 |          2 |         36 |
| artifacts\contracts\practice-GuideDAO\NFT&ERC721\IERC721.sol                                                                                                                       |          2 |        258 |          0 |          2 |        260 |
| artifacts\contracts\practice-GuideDAO\NFT&ERC721\IERC721Enumerable.sol                                                                                                             |          2 |        314 |          0 |          2 |        316 |
| artifacts\contracts\practice-GuideDAO\NFT&ERC721\IERC721Metadata.sol                                                                                                               |          2 |        303 |          0 |          2 |        305 |
| artifacts\contracts\practice-GuideDAO\NFT&ERC721\IERC721Receiver.sol                                                                                                               |          2 |         49 |          0 |          2 |         51 |
| artifacts\contracts\practice-GuideDAO\NFT&ERC721\MyTokenERC721.sol                                                                                                                 |          2 |        427 |          0 |          2 |        429 |
| artifacts\contracts\practice-GuideDAO\NFT&ERC721\Strings.sol                                                                                                                       |          2 |         14 |          0 |          2 |         16 |
| artifacts\contracts\practice-GuideDAO\Overflow.sol                                                                                                                                 |          2 |         55 |          0 |          2 |         57 |
| artifacts\contracts\practice-GuideDAO\RecordFactory.sol                                                                                                                            |          8 |        344 |          0 |          8 |        352 |
| artifacts\contracts\practice-GuideDAO\RecordFactoryENS.sol                                                                                                                         |         22 |        721 |          0 |         22 |        743 |
| artifacts\contracts\practice-GuideDAO\SharedWallet.sol                                                                                                                             |          2 |        252 |          0 |          2 |        254 |
| artifacts\contracts\practice-GuideDAO\TodoList.sol                                                                                                                                 |          2 |        103 |          0 |          2 |        105 |
| artifacts\contracts\practice-GuideDAO\Voting.sol                                                                                                                                   |          2 |        220 |          0 |          2 |        222 |
| artifacts\contracts\practice-GuideDAO\Wallet.sol                                                                                                                                   |          2 |        337 |          0 |          2 |        339 |
| artifacts\contracts\practice-GuideDAO\security                                                                                                                                     |         22 |        503 |          0 |         22 |        525 |
| artifacts\contracts\practice-GuideDAO\security\AuctionDenialOfService.sol                                                                                                          |          4 |        104 |          0 |          4 |        108 |
| artifacts\contracts\practice-GuideDAO\security\AuctionReentrancy.sol                                                                                                               |          4 |         85 |          0 |          4 |         89 |
| artifacts\contracts\practice-GuideDAO\security\AuctionTxOrigin.sol                                                                                                                 |          4 |         74 |          0 |          4 |         78 |
| artifacts\contracts\practice-GuideDAO\security\BankHoneypot.sol                                                                                                                    |          8 |        183 |          0 |          8 |        191 |
| artifacts\contracts\practice-GuideDAO\security\GameCommitReveal.sol                                                                                                                |          2 |         57 |          0 |          2 |         59 |
| artifacts\contracts\practice-GuideDAO\СontractsSeveral.sol                                                                                                                         |          6 |         78 |          0 |          6 |         84 |
| artifacts\contracts\practice-junior                                                                                                                                                |         60 |      2,122 |          0 |         60 |      2,182 |
| artifacts\contracts\practice-junior\Adder.sol                                                                                                                                      |          2 |         39 |          0 |          2 |         41 |
| artifacts\contracts\practice-junior\AddressMap.sol                                                                                                                                 |          2 |         71 |          0 |          2 |         73 |
| artifacts\contracts\practice-junior\ArrayContract.sol                                                                                                                              |          2 |         73 |          0 |          2 |         75 |
| artifacts\contracts\practice-junior\ArrayCount.sol                                                                                                                                 |          2 |         60 |          0 |          2 |         62 |
| artifacts\contracts\practice-junior\ArrayDeletion.sol                                                                                                                              |          2 |         79 |          0 |          2 |         81 |
| artifacts\contracts\practice-junior\ArrayStorage.sol                                                                                                                               |          2 |         66 |          0 |          2 |         68 |
| artifacts\contracts\practice-junior\ArraySum.sol                                                                                                                                   |          2 |         60 |          0 |          2 |         62 |
| artifacts\contracts\practice-junior\BooleanStorage.sol                                                                                                                             |          2 |         54 |          0 |          2 |         56 |
| artifacts\contracts\practice-junior\CallLimiter.sol                                                                                                                                |          2 |        162 |          0 |          2 |        164 |
| artifacts\contracts\practice-junior\CircularBuffer.sol                                                                                                                             |          2 |         71 |          0 |          2 |         73 |
| artifacts\contracts\practice-junior\ConditionChecker.sol                                                                                                                           |          2 |         47 |          0 |          2 |         49 |
| artifacts\contracts\practice-junior\DataStorage.sol                                                                                                                                |          2 |         73 |          0 |          2 |         75 |
| artifacts\contracts\practice-junior\Divider.sol                                                                                                                                    |          2 |         39 |          0 |          2 |         41 |
| artifacts\contracts\practice-junior\FeedbackContract.sol                                                                                                                           |          2 |         59 |          0 |          2 |         61 |
| artifacts\contracts\practice-junior\IncrementWithThreshold.sol                                                                                                                     |          2 |         90 |          0 |          2 |         92 |
| artifacts\contracts\practice-junior\InputValidation.sol                                                                                                                            |          2 |         34 |          0 |          2 |         36 |
| artifacts\contracts\practice-junior\KeyExistence.sol                                                                                                                               |          2 |         90 |          0 |          2 |         92 |
| artifacts\contracts\practice-junior\MultiReturnExample.sol                                                                                                                         |          2 |         38 |          0 |          2 |         40 |
| artifacts\contracts\practice-junior\Multiplier.sol                                                                                                                                 |          2 |         39 |          0 |          2 |         41 |
| artifacts\contracts\practice-junior\OwnerContract.sol                                                                                                                              |          2 |         46 |          0 |          2 |         48 |
| artifacts\contracts\practice-junior\RestrictedAccess.sol                                                                                                                           |          2 |         46 |          0 |          2 |         48 |
| artifacts\contracts\practice-junior\RoleBasedAccessControl.sol                                                                                                                     |          2 |        317 |          0 |          2 |        319 |
| artifacts\contracts\practice-junior\SimpleStorage.sol                                                                                                                              |          2 |         54 |          0 |          2 |         56 |
| artifacts\contracts\practice-junior\StringStorage.sol                                                                                                                              |          2 |         54 |          0 |          2 |         56 |
| artifacts\contracts\practice-junior\Subtracter.sol                                                                                                                                 |          2 |         39 |          0 |          2 |         41 |
| artifacts\contracts\practice-junior\TimedLock.sol                                                                                                                                  |          2 |         59 |          0 |          2 |         61 |
| artifacts\contracts\practice-junior\TimestampRecorder.sol                                                                                                                          |          2 |         48 |          0 |          2 |         50 |
| artifacts\contracts\practice-junior\UniqueArray.sol                                                                                                                                |          2 |         92 |          0 |          2 |         94 |
| artifacts\contracts\practice-junior\UniqueCount.sol                                                                                                                                |          2 |         60 |          0 |          2 |         62 |
| artifacts\contracts\practice-junior\Validator.sol                                                                                                                                  |          2 |         63 |          0 |          2 |         65 |
| artifacts\contracts\practice-middle                                                                                                                                                |         28 |      1,226 |          0 |         28 |      1,254 |
| artifacts\contracts\practice-middle\BaseContract.sol                                                                                                                               |          2 |         65 |          0 |          2 |         67 |
| artifacts\contracts\practice-middle\DataConsumer.sol                                                                                                                               |          2 |         52 |          0 |          2 |         54 |
| artifacts\contracts\practice-middle\DataProvider.sol                                                                                                                               |          2 |         52 |          0 |          2 |         54 |
| artifacts\contracts\practice-middle\EmployeeData.sol                                                                                                                               |          2 |        109 |          0 |          2 |        111 |
| artifacts\contracts\practice-middle\Factorial.sol                                                                                                                                  |          2 |         34 |          0 |          2 |         36 |
| artifacts\contracts\practice-middle\FallbackExample.sol                                                                                                                            |          2 |         42 |          0 |          2 |         44 |
| artifacts\contracts\practice-middle\InheritedContract.sol                                                                                                                          |          2 |        109 |          0 |          2 |        111 |
| artifacts\contracts\practice-middle\Library.sol                                                                                                                                    |          2 |        129 |          0 |          2 |        131 |
| artifacts\contracts\practice-middle\NestedMappings.sol                                                                                                                             |          2 |         86 |          0 |          2 |         88 |
| artifacts\contracts\practice-middle\Power.sol                                                                                                                                      |          2 |         39 |          0 |          2 |         41 |
| artifacts\contracts\practice-middle\ProductStore.sol                                                                                                                               |          2 |        128 |          0 |          2 |        130 |
| artifacts\contracts\practice-middle\ReceiveEther.sol                                                                                                                               |          2 |         64 |          0 |          2 |         66 |
| artifacts\contracts\practice-middle\UserRegistry.sol                                                                                                                               |          2 |        145 |          0 |          2 |        147 |
| artifacts\contracts\practice-middle\VotingWithDelegation.sol                                                                                                                       |          2 |        172 |          0 |          2 |        174 |
| artifacts\contracts\practice-module-1                                                                                                                                              |         70 |      3,705 |          0 |         70 |      3,775 |
| artifacts\contracts\practice-module-1\IMathContract.sol                                                                                                                            |          2 |        111 |          0 |          2 |        113 |
| artifacts\contracts\practice-module-1\InheritedMathContract.sol                                                                                                                    |          2 |        111 |          0 |          2 |        113 |
| artifacts\contracts\practice-module-1\InterfaceMathContract.sol                                                                                                                    |          2 |        122 |          0 |          2 |        124 |
| artifacts\contracts\practice-module-1\Lesson.sol                                                                                                                                   |          2 |         54 |          0 |          2 |         56 |
| artifacts\contracts\practice-module-1\LessonArray1.sol                                                                                                                             |          2 |        157 |          0 |          2 |        159 |
| artifacts\contracts\practice-module-1\LessonBool.sol                                                                                                                               |          2 |        111 |          0 |          2 |        113 |
| artifacts\contracts\practice-module-1\LessonCall.sol                                                                                                                               |          4 |        205 |          0 |          4 |        209 |
| artifacts\contracts\practice-module-1\LessonCycles.sol                                                                                                                             |          2 |         35 |          0 |          2 |         37 |
| artifacts\contracts\practice-module-1\LessonDelegateCall.sol                                                                                                                       |          6 |        330 |          0 |          6 |        336 |
| artifacts\contracts\practice-module-1\LessonDlegateCallAdditionally.sol                                                                                                            |          6 |        188 |          0 |          6 |        194 |
| artifacts\contracts\practice-module-1\LessonEnum.sol                                                                                                                               |          2 |         81 |          0 |          2 |         83 |
| artifacts\contracts\practice-module-1\LessonError.sol                                                                                                                              |          2 |         90 |          0 |          2 |         92 |
| artifacts\contracts\practice-module-1\LessonErrorsAndCondotions.sol                                                                                                                |          2 |        105 |          0 |          2 |        107 |
| artifacts\contracts\practice-module-1\LessonEvent.sol                                                                                                                              |          2 |         47 |          0 |          2 |         49 |
| artifacts\contracts\practice-module-1\LessonExternalLibrary.sol                                                                                                                    |          2 |         39 |          0 |          2 |         41 |
| artifacts\contracts\practice-module-1\LessonGlobalVariablesAndConstructor.sol                                                                                                      |          2 |         92 |          0 |          2 |         94 |
| artifacts\contracts\practice-module-1\LessonInternalLibrary.sol                                                                                                                    |          2 |         14 |          0 |          2 |         16 |
| artifacts\contracts\practice-module-1\LessonLibrary.sol                                                                                                                            |          2 |         81 |          0 |          2 |         83 |
| artifacts\contracts\practice-module-1\LessonMapping.sol                                                                                                                            |          4 |        188 |          0 |          4 |        192 |
| artifacts\contracts\practice-module-1\LessonModifier.sol                                                                                                                           |          2 |         72 |          0 |          2 |         74 |
| artifacts\contracts\practice-module-1\LessonOpenZeppelin.sol                                                                                                                       |          2 |        149 |          0 |          2 |        151 |
