Date : 2025-01-27 18:00:35
Directory : c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts
Total : 1369 files,  1443553 codes, 5579 comments, 8375 blanks, all 1457507 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-1\LessonUint.sol\LessonUint.json                                                         | JSON               |        128 |          0 |          1 |        129 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-1\LessonUintPractice.sol\LessonUintPractice.dbg.json                                     | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-1\LessonUintPractice.sol\LessonUintPractice.json                                         | JSON               |        128 |          0 |          1 |        129 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-1\MathContract.sol\MathContract.dbg.json                                                 | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-1\MathContract.sol\MathContract.json                                                     | JSON               |        107 |          0 |          1 |        108 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-1\Module1Lesson2-2.sol\Module1Lesson2.dbg.json                                           | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-1\Module1Lesson2-2.sol\Module1Lesson2.json                                               | JSON               |         37 |          0 |          1 |         38 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-1\Module1Lesson2.sol\Module1Lesson2.dbg.json                                             | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-1\Module1Lesson2.sol\Module1Lesson2.json                                                 | JSON               |         87 |          0 |          1 |         88 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-1\Module1Practicum1.sol\Practicum.dbg.json                                               | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-1\Module1Practicum1.sol\Practicum.json                                                   | JSON               |        408 |          0 |          1 |        409 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-1\Module1Practicum2.sol\Practicum.dbg.json                                               | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-1\Module1Practicum2.sol\Practicum.json                                                   | JSON               |        317 |          0 |          1 |        318 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-2\BaseContract.sol\BaseContract.dbg.json                                                 | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-2\BaseContract.sol\BaseContract.json                                                     | JSON               |         49 |          0 |          1 |         50 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-2\DataTypes-2.sol\Todos.dbg.json                                                         | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-2\DataTypes-2.sol\Todos.json                                                             | JSON               |        274 |          0 |          1 |        275 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-2\DataTypes.sol\DataTypes.dbg.json                                                       | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-2\DataTypes.sol\DataTypes.json                                                           | JSON               |        331 |          0 |          1 |        332 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-2\DerivedContract.sol\DerivedContract.dbg.json                                           | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-2\DerivedContract.sol\DerivedContract.json                                               | JSON               |         49 |          0 |          1 |         50 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-2\Module2PracticumIntensive1.sol\Practicum1Module2Intensiv.dbg.json                      | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-2\Module2PracticumIntensive1.sol\Practicum1Module2Intensiv.json                          | JSON               |        408 |          0 |          1 |        409 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-2\Module2PracticumIntensive2.sol\Practicum.dbg.json                                      | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-2\Module2PracticumIntensive2.sol\Practicum.json                                          | JSON               |        317 |          0 |          1 |        318 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-2\Module2PracticumIntensive6.sol\Module2PracticumIntensive6.dbg.json                     | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-2\Module2PracticumIntensive6.sol\Module2PracticumIntensive6.json                         | JSON               |        365 |          0 |          1 |        366 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-2\MyERC20.sol\MyERC20.dbg.json                                                           | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-2\MyERC20.sol\MyERC20.json                                                               | JSON               |        375 |          0 |          1 |        376 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-2\MyOZToken.sol\MyOZToken.dbg.json                                                       | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-2\MyOZToken.sol\MyOZToken.json                                                           | JSON               |        405 |          0 |          1 |        406 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-2\MyToken.sol\MyToken.dbg.json                                                           | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-2\MyToken.sol\MyToken.json                                                               | JSON               |        398 |          0 |          1 |        399 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-2\MyTokenA.sol\MyTokenA.dbg.json                                                         | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-2\MyTokenA.sol\MyTokenA.json                                                             | JSON               |        380 |          0 |          1 |        381 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-2\MyTokenB.sol\MyTokenB.dbg.json                                                         | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-2\MyTokenB.sol\MyTokenB.json                                                             | JSON               |        380 |          0 |          1 |        381 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-2\OwnerContract.sol\OwnerContract.dbg.json                                               | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-2\OwnerContract.sol\OwnerContract.json                                                   | JSON               |         37 |          0 |          1 |         38 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-2\TokenExchange.sol\TokenExchange.dbg.json                                               | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-module-2\TokenExchange.sol\TokenExchange.json                                                   | JSON               |        110 |          0 |          1 |        111 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\hardhat\console.sol\console.dbg.json                                                                               | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\hardhat\console.sol\console.json                                                                                   | JSON               |         10 |          0 |          1 |         11 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\biome.json                                                                                                                   | JSON               |         27 |          0 |          0 |         27 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\cache\solidity-files-cache.json                                                                                              | JSON               |      6,542 |          0 |          1 |      6,543 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\cache\validations.json                                                                                                       | JSON               |     11,041 |          0 |          0 |     11,041 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\AccessControl\AccessControl.sol                                                                  | Solidity           |         55 |          3 |          2 |         60 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\AccessControl\Demo.sol                                                                           | Solidity           |         18 |          1 |          3 |         22 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\AccessControl\Demo.test.ts                                                                       | TypeScript         |         19 |          0 |          1 |         20 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\AccessControl\IAccessControl.sol                                                                 | Solidity           |         22 |          1 |          0 |         23 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\AddressDemo.sol                                                                                  | Solidity           |         10 |          1 |          4 |         15 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\Album.sol                                                                                        | Solidity           |         22 |          4 |          6 |         32 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\AlbumTracker.sol                                                                                 | Solidity           |         40 |         10 |         19 |         69 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\Beacon_Proxy\BaconV1.sol                                                                         | Solidity           |         14 |          1 |          5 |         20 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\Beacon_Proxy\BaconV2.sol                                                                         | Solidity           |         18 |          1 |          7 |         26 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\Beacon_Proxy\MyBaconProxy.sol                                                                    | Solidity           |          5 |          1 |          2 |          8 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\Beacon_Proxy\MyBeacon.sol                                                                        | Solidity           |          5 |          1 |          2 |          8 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\Beacon_Proxy\MyEggProxy.sol                                                                      | Solidity           |          5 |          1 |          2 |          8 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\CommitReveal.sol                                                                                 | Solidity           |         27 |         34 |          8 |         69 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\Create3\Create3.sol                                                                              | Solidity           |         35 |         66 |         13 |        114 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\Create3\Create3Demo.sol                                                                          | Solidity           |         21 |          1 |          6 |         28 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\Create3\Create3Devo.t.sol                                                                        | Solidity           |         19 |          1 |          8 |         28 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\DAO&Governance\ERC6909.sol                                                                       | Solidity           |         58 |         62 |         15 |        135 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\DAO&Governance\ERC6909ContentURI.sol                                                             | Solidity           |         21 |          6 |          8 |         35 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\DAO&Governance\ERC6909Metadata.sol                                                               | Solidity           |         21 |          5 |          6 |         32 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\DAO&Governance\ERC6909TokenSupply.sol                                                            | Solidity           |         18 |          5 |          7 |         30 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\DAO&Governance\GuideTokens.sol                                                                   | Solidity           |         37 |         16 |         14 |         67 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\DAO&Governance\IERC6909.sol                                                                      | Solidity           |         17 |         23 |         10 |         50 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\DAO&Governance\IERC6909ContentURI.sol                                                            | Solidity           |          5 |          4 |          2 |         11 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\DAO&Governance\IERC6909Metadata.sol                                                              | Solidity           |          6 |          4 |          3 |         13 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\DAO&Governance\IERC6909TokenSupply.sol                                                           | Solidity           |          4 |          2 |          1 |          7 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\DEX&WETH\DEX.sol                                                                                 | Solidity           |         73 |          4 |         30 |        107 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\DEX&WETH\GTK.sol                                                                                 | Solidity           |          7 |          1 |          2 |         10 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\DEX&WETH\LPToken.sol                                                                             | Solidity           |         11 |          1 |          4 |         16 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\DEX&WETH\WETH.sol                                                                                | Solidity           |         11 |          1 |          4 |         16 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\Demo.sol                                                                                         | Solidity           |         12 |          1 |          4 |         17 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\DemoNew.sol                                                                                      | Solidity           |         21 |          1 |          3 |         25 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\Destroy.sol                                                                                      | Solidity           |         40 |          5 |         12 |         57 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ENSRegistrar.sol                                                                                 | Solidity           |         61 |         26 |         20 |        107 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC1155\ERC1155.sol                                                                              | Solidity           |        176 |         81 |         33 |        290 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC1155\IERC1155.sol                                                                             | Solidity           |         50 |          1 |          1 |         52 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC1155\IERC1155MetadataURI.sol                                                                  | Solidity           |          5 |          1 |          0 |          6 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC1155\IERC1155Receiver.sol                                                                     | Solidity           |         17 |          1 |          0 |         18 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC1167\ERC1167.sol                                                                              | Solidity           |         30 |          1 |         11 |         42 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC1167\ERC1167.test.ts                                                                          | TypeScript         |         26 |          0 |         12 |         38 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC1167\setup.ts                                                                                 | TypeScript         |          7 |          0 |          1 |          8 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC165.sol                                                                                       | Solidity           |          7 |          1 |          5 |         13 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC20\ERC20.sol                                                                                  | Solidity           |         80 |         55 |         19 |        154 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC20\IERC20.sol                                                                                 | Solidity           |         14 |          1 |         12 |         27 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC20\artifacts\ERC20.json                                                                       | JSON               |     13,256 |          0 |          0 |     13,256 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC20\artifacts\ERC20_metadata.json                                                              | JSON               |        360 |          0 |          0 |        360 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC20\artifacts\build-info\cd5d9681d5cf8a60a9edcc67202176f7.json                                 | JSON               |     43,331 |          0 |          0 |     43,331 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2535\contracts\Diamond.sol                                                                    | Solidity           |         39 |         17 |          9 |         65 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2535\contracts\facets\DiamondCutFacet.sol                                                     | Solidity           |         13 |         13 |          4 |         30 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2535\contracts\facets\DiamondLoupeFacet.sol                                                   | Solidity           |         32 |         27 |          8 |         67 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2535\contracts\facets\OwnershipFacet.sol                                                      | Solidity           |         12 |          1 |          3 |         16 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2535\contracts\facets\Test1Facet.sol                                                          | Solidity           |         28 |          1 |         22 |         51 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2535\contracts\facets\Test2Facet.sol                                                          | Solidity           |         26 |          1 |         21 |         48 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2535\contracts\interfaces\IDiamondCut.sol                                                     | Solidity           |         15 |         12 |          5 |         32 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2535\contracts\interfaces\IDiamondLoupe.sol                                                   | Solidity           |         11 |         20 |          7 |         38 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2535\contracts\interfaces\IERC165.sol                                                         | Solidity           |          4 |          7 |          1 |         12 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2535\contracts\interfaces\IERC173.sol                                                         | Solidity           |          6 |         10 |          3 |         19 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2535\contracts\libraries\LibDiamond.sol                                                       | Solidity           |        162 |         28 |         24 |        214 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2535\contracts\upgradeInitializers\DiamondInit.sol                                            | Solidity           |         15 |         19 |          5 |         39 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2535\scripts\deploy.ts                                                                        | TypeScript         |         63 |          6 |         16 |         85 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2535\scripts\lib\diamond.ts                                                                   | TypeScript         |         78 |         10 |         13 |        101 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2535\test\Diamond.test.ts                                                                     | TypeScript         |        184 |         17 |         44 |        245 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2535\test\setup.ts                                                                            | TypeScript         |         10 |          0 |          1 |         11 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2612\ERC20.sol                                                                                | Solidity           |        113 |        119 |         43 |        275 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2612\ERC20Permit.sol                                                                          | Solidity           |         50 |         39 |         18 |        107 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2612\IERC20.sol                                                                               | Solidity           |         11 |          1 |          9 |         21 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2612\IERC20Metadata.sol                                                                       | Solidity           |          7 |          1 |          5 |         13 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2612\IERC20Permit.sol                                                                         | Solidity           |         14 |          1 |          4 |         19 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2612\IERC5267.sol                                                                             | Solidity           |         16 |          8 |          3 |         27 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2612\MyToken.sol                                                                              | Solidity           |         17 |         16 |          7 |         40 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2612\Proxy.sol                                                                                | Solidity           |         16 |          1 |          3 |         20 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2612\crypto\ECDSA.sol                                                                         | Solidity           |         89 |        112 |         16 |        217 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2612\crypto\EIP712.sol                                                                        | Solidity           |         65 |         62 |         13 |        140 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2612\hardhat.config.ts                                                                        | TypeScript         |         19 |          0 |          2 |         21 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2612\utils\Counters.sol                                                                       | Solidity           |         24 |         26 |          7 |         57 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2612\utils\Math.sol                                                                           | Solidity           |        199 |        109 |         31 |        339 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2612\utils\ShortStrings.sol                                                                   | Solidity           |         53 |         51 |         11 |        115 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2612\utils\SignedMath.sol                                                                     | Solidity           |         18 |         20 |          5 |         43 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2612\utils\StorageSlot.sol                                                                    | Solidity           |         61 |         62 |         15 |        138 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC2612\utils\Strings.sol                                                                        | Solidity           |         51 |         25 |          9 |         85 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC3156\ERC20FlashMint.sol                                                                       | Solidity           |         50 |          1 |         17 |         68 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC3156\FlashBorrower.sol                                                                        | Solidity           |         40 |          2 |         14 |         56 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC3156\IERC3156FlashBorrower.sol                                                                | Solidity           |         10 |          1 |          1 |         12 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC3156\IERC3156lashLender.sol                                                                   | Solidity           |         11 |          1 |          3 |         15 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC4626\ERC4626.sol                                                                              | Solidity           |        141 |          2 |         45 |        188 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC4626\IERC4626.sol                                                                             | Solidity           |         34 |          7 |         20 |         61 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC4907\ERC165.sol                                                                               | Solidity           |          7 |          1 |          3 |         11 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC4907\ERC4907.sol                                                                              | Solidity           |         44 |          1 |         15 |         60 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC4907\ERC721.sol                                                                               | Solidity           |        170 |          4 |         58 |        232 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC4907\IERC165.sol                                                                              | Solidity           |          4 |          1 |          2 |          7 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC4907\IERC4907.sol                                                                             | Solidity           |          7 |          1 |          5 |         13 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC4907\IERC721.sol                                                                              | Solidity           |         16 |          1 |         14 |         31 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC4907\IERC721Metadata.sol                                                                      | Solidity           |          7 |          1 |          5 |         13 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC4907\IERC721Receiver.sol                                                                      | Solidity           |          9 |          1 |          2 |         12 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC4907\Strings.sol                                                                              | Solidity           |         51 |         25 |          9 |         85 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC4907\utils\Counters.sol                                                                       | Solidity           |         24 |          2 |          6 |         32 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC4907\utils\Math.sol                                                                           | Solidity           |        199 |        109 |         31 |        339 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC4907\utils\ShortStrings.sol                                                                   | Solidity           |         53 |         51 |         11 |        115 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC4907\utils\SignedMath.sol                                                                     | Solidity           |         18 |         20 |          5 |         43 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC4907\utils\StorageSlot.sol                                                                    | Solidity           |         61 |         62 |         15 |        138 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC4907\utils\Strings.sol                                                                        | Solidity           |         51 |         25 |          9 |         85 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC6551\ERC6551Account.sol                                                                       | Solidity           |         73 |          1 |         21 |         95 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC6551\ERC6551Registry.sol                                                                      | Solidity           |         73 |          1 |         14 |         88 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC6551\HiHNFT.sol                                                                               | Solidity           |          9 |          1 |          3 |         13 |
| c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\contracts\practice-GuideDAO\ERC6551\HiHNFT.test.ts                                                                           | TypeScript         |         68 |          0 |         25 |         93 |
